"","dts","depth","ax","ay","az","odba","temp","temp.dep","f","night"
"825",2018-07-20 20:13:44,20.7421804296179,-0.0108158538798473,0.0402327393021446,0.000242293211334397,0.336016626202032,22.6249464,12.3272448,"5","day"
"826",2018-07-20 20:13:45,20.7577276165093,0.0535489058680159,0.0362003291103768,0.00877886711533577,0.342901009425536,22.625368,12.3244616,"5","day"
"827",2018-07-20 20:13:46,20.7683579588674,-0.204669382370553,-0.013590254771176,-0.0333259463618438,0.412118145558871,22.6249176,12.3244856,"5","day"
"828",2018-07-20 20:13:47,20.7718408274743,-0.0568249398846242,0.00322317004050445,-0.0273368030148835,0.310602271339679,22.6240448,12.3248448,"5","day"
"829",2018-07-20 20:13:48,20.7659928944098,-0.223978139915927,0.00672866434337635,-0.034388014218626,0.94012829285004,22.6247048,12.3206384,"5","day"
"830",2018-07-20 20:13:49,20.7614793556057,0.398945631098672,0.00995892122596851,0.0815758135698056,0.807579159783023,22.6248248,12.3203232,"5","day"
"831",2018-07-20 20:13:50,20.7718582542693,0.212449005471831,-0.0880434141644719,0.0348237589230861,0.485088623751519,22.6253488,12.3198368,"5","day"
"832",2018-07-20 20:13:51,20.800704572047,-0.254841123141377,-0.0773194976355449,-0.0732794259836968,0.523757662082441,22.6244752,12.3160848,"5","day"
"833",2018-07-20 20:13:52,20.8406617136986,0.102007739006192,0.0373349891532471,0.0181924849613949,0.393757491858399,22.6232984,12.3099536,"5","day"
"834",2018-07-20 20:13:53,20.8759335381765,-0.19512341305028,0.00225093263478313,-0.0206451051427186,0.503444680584728,22.621332,12.3065864,"5","day"
"835",2018-07-20 20:13:54,20.8942167312162,0.0256568396052078,0.0315385311693273,0.0141248321153305,0.421247906867031,22.6205976,12.3041912,"5","day"
"836",2018-07-20 20:13:55,20.8922798679012,0.347977483083128,0.0505651559814871,0.0528130240425867,0.537676784372417,22.619348,12.3025864,"5","day"
"837",2018-07-20 20:13:56,20.8801806960363,-0.14134045002696,0.0820301372859354,0.0150752344093637,0.34044226009,22.6192776,12.3009016,"5","day"
"838",2018-07-20 20:13:57,20.8597789031487,0.127946136720671,0.1146805356952,0.0311150447798481,0.401215525818065,22.6189456,12.3008656,"5","day"
"839",2018-07-20 20:13:58,20.830295262741,-0.177187394960401,-0.00199044349188838,-0.0598215226874451,0.40630617314828,22.6205264,12.304432,"5","day"
"840",2018-07-20 20:13:59,20.7872187255599,0.0356548341988161,-0.16665022614928,-0.0384709899523201,0.498436968389201,22.6223096,12.3026832,"5","day"
"841",2018-07-20 20:14:00,20.7291825332926,-0.10116363926692,-0.228052113462504,-0.0292215185694632,0.52465922265884,22.6231992,12.3016312,"5","day"
"842",2018-07-20 20:14:01,20.6629632179966,-0.120792070627984,-0.00997041339332822,0.00808493170471564,0.315300461137384,22.6239136,12.3026696,"5","day"
"843",2018-07-20 20:14:02,20.611920147904,0.0680430196493043,0.0661090793149277,0.00952873107015069,0.367254828709697,22.6243632,12.3025296,"5","day"
"844",2018-07-20 20:14:03,20.5882993778273,0.085319387288968,0.15600254098832,0.0444877144937148,0.505467493679096,22.6233536,12.2996632,"5","day"
"845",2018-07-20 20:14:04,20.5925639624792,0.265934512878672,0.0144389513673285,0.0452931239368665,0.546147661393776,22.6211488,12.3000744,"5","day"
